Title,Latitude,Longitude,Date,Elevation,site_no,Mean Water Temp (C),Mean Specific Conductance,Turbidity (FNU),pH,normalized_turbidity,normalized_water_temp,normalized_specific_conductance,distance_from_mean,normalized_pH,cwi,cwi_100
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104405.0,12.3,297.0,,6.684472858447523,,4.800796812749004,1.3000520020800832,0.813630677238482,6.749049016309614,4.357227496432344,37
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104410.0,12.2,1040.0,,7.427247269061466,,4.764940239043824,5.16380655226209,0.0708562666245393,9.718380589377713,6.294170714344441,59
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104415.0,13.4,,,7.435422408349894,,5.195219123505977,,0.0626811273361109,9.75106170878151,7.017556157616189,67
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104420.0,12.9,1050.0,,8.219710907667167,,5.01593625498008,5.2158086323452935,0.721607371981162,7.116923436663958,5.673324700422678,52
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104430.0,17.5,787.0,,7.025862713715344,,6.665338645418327,3.848153926157046,0.4722408219706615,8.113796726363345,6.2742738916136815,59
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104453.0,15.1,477.0,,9.214781689049072,,5.804780876494023,2.236089443577743,1.716678153363067,3.139006257001534,4.02350486152009,34
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104455.0,14.7,1280.0,0.8,6.5923367971091,0.1051311288483466,5.661354581673306,6.41185647425897,0.9057667385769052,6.380723839727146,4.288461775953719,37
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104460.0,14.2,590.0,,5.967789321440351,,5.48207171314741,2.8237129485179406,1.5303142142456547,3.8840189022881138,4.26595412015062,36
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104475.0,13.5,319.0,,7.068649598659472,,5.231075697211155,1.4144565782631304,0.4294539370265333,8.28484253322255,5.013117902086404,45
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1168250.0,9.6,86.0,,6.017712447946511,,3.8326693227091626,0.2028081123244929,1.4803910877394948,4.083592707797228,2.867258515481562,21
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1170100.0,10.7,,,7.736237214150312,,4.227091633466135,,0.2381336784643064,9.049668671816653,6.156122448806342,57
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1173000.0,13.9,,,5.581357234847302,,5.374501992031872,,1.9167463008387031,2.339209362310964,4.1603849401435085,35
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,422302000000000.0,19.2,615.0,,8.122852194012669,,7.274900398406374,2.953718148725949,0.6247486583266637,7.504127993621356,6.105770497130534,57
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1095220.0,12.7,110.0,,6.8774816972828186,,4.944223107569721,0.3276131045241809,0.6206218384031867,7.520625461116255,4.361306636284292,37
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1095375.0,14.1,159.0,,8.711195841354472,,5.446215139442231,0.5824232969318772,1.213092305668467,5.152152288882038,3.972542369993504,33
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1095434.0,12.3,,,6.6139779113309,,4.800796812749004,,0.8841256243551054,6.467236841275017,5.46737282415941,50
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1100568.0,15.3,,,6.687267499953846,,5.876494023904384,,0.8108360357321596,6.760220937611091,6.229984789387068,58
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104370.0,12.9,359.0,,8.263712210455338,,5.01593625498008,1.6224648985959438,0.7656086747693331,6.941022845908478,4.596397750564154,40
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104405.0,12.3,297.0,,6.684472858447523,,4.800796812749004,1.3000520020800832,0.813630677238482,6.749049016309614,4.357227496432344,37
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104410.0,12.2,1040.0,,7.427247269061466,,4.764940239043824,5.16380655226209,0.0708562666245393,9.718380589377713,6.294170714344441,59
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104415.0,13.4,,,7.435422408349894,,5.195219123505977,,0.0626811273361109,9.75106170878151,7.017556157616189,67
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104420.0,12.9,1050.0,,8.219710907667167,,5.01593625498008,5.2158086323452935,0.721607371981162,7.116923436663958,5.673324700422678,52
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104430.0,17.5,787.0,,7.025862713715344,,6.665338645418327,3.848153926157046,0.4722408219706615,8.113796726363345,6.2742738916136815,59
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104453.0,15.1,477.0,,9.214781689049072,,5.804780876494023,2.236089443577743,1.716678153363067,3.139006257001534,4.02350486152009,34
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104455.0,14.7,1280.0,0.8,6.5923367971091,0.1051311288483466,5.661354581673306,6.41185647425897,0.9057667385769052,6.380723839727146,4.288461775953719,37
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104460.0,14.2,590.0,,5.967789321440351,,5.48207171314741,2.8237129485179406,1.5303142142456547,3.8840189022881138,4.26595412015062,36
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1104475.0,13.5,319.0,,7.068649598659472,,5.231075697211155,1.4144565782631304,0.4294539370265333,8.28484253322255,5.013117902086404,45
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1168250.0,9.6,86.0,,6.017712447946511,,3.8326693227091626,0.2028081123244929,1.4803910877394948,4.083592707797228,2.867258515481562,21
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1170100.0,10.7,,,7.736237214150312,,4.227091633466135,,0.2381336784643064,9.049668671816653,6.156122448806342,57
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,1173000.0,13.9,,,5.581357234847302,,5.374501992031872,,1.9167463008387031,2.339209362310964,4.1603849401435085,35
"""St. Patrick's Day Parade""",42.3601,-71.0589,2023-10-10,10.43025493621826,422302000000000.0,19.2,615.0,,8.122852194012669,,7.274900398406374,2.953718148725949,0.6247486583266637,7.504127993621356,6.105770497130534,57
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1095220.0,20.4,78.0,,8.043752229013043,,7.705179282868525,0.1612064482579303,0.5456486933270375,7.820339780330373,5.582661472254598,51
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1095375.0,23.4,151.0,,9.004221839683417,,8.780876494023904,0.5408216328653146,1.506118303997412,3.9807450134903632,5.055108967826152,45
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1095434.0,17.3,,,9.41308360282038,,6.5936254980079685,,1.9149800671343733,2.346270097614632,4.894683337850633,43
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1100568.0,18.7,,,7.761268712295343,,7.095617529880478,,0.2631651766093377,8.949602195776098,7.837211396238726,76
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104370.0,21.4,330.0,,7.202197919664052,,8.063745019920319,1.4716588663546544,0.2959056160219537,8.818718283951984,6.395998480053462,60
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104405.0,19.9,317.0,,6.392691064418878,,7.525896414342629,1.4040561622464898,1.105412471267127,5.582615599817001,5.221576109593553,47
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104410.0,18.9,851.0,,8.526674277549352,,7.1673306772908365,4.180967238689547,1.028570741863347,5.889799813472404,5.949075162313774,55
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104415.0,18.5,,,7.470116992242327,,7.02390438247012,,0.0279865434436779,9.8897575522222,8.170245650370951,80
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104420.0,22.2,905.0,,6.171706822561783,,8.350597609561753,4.461778471138845,1.3263967131242227,4.699204059084967,6.196251127018984,58
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104453.0,22.6,496.0,,7.111612348955581,,8.49402390438247,2.334893395735829,0.3864911867304244,8.456591383340626,6.723577324471474,64
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104455.0,17.4,1140.0,0.3,5.0,0.1,6.629482071713147,5.683827353094124,2.4981035356860053,0.0151626961948974,3.158642631371748,24
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104460.0,21.6,309.0,,8.058501903644148,,8.135458167330679,1.3624544981799271,0.5603983679581424,7.761376151604363,6.093433685937232,57
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1104475.0,21.3,256.0,,8.795160646563051,,8.02788844621514,1.0868434737389496,1.297057110877046,4.816492708301886,5.1271911003895845,46
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1168250.0,16.0,102.0,,7.73940621921057,,6.127490039840638,0.2860114404576183,0.241302683524565,9.037000186410888,5.289784767608419,48
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,2023-07-23,8.99447250366211,1170100.0,,,,6.593806655629467,,,,0.9042968800565384,6.386599778976132,6.386599778976132,60
